prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,query
0004_10,0004_01,0004_03,0004_09,0003_14,0004_08
0004_01,0004_10,0004_09,0004_03,0004_06,0004_04
0005_04,0005_02,0005_01,0003_02,0003_14,0005_06
0012_01,0012_10,0012_09,0012_06,0012_07,0012_08
0012_01,0012_09,0012_10,0002_05,0012_02,0012_05
0005_01,0005_02,0005_08,0005_04,0104_004,0005_03
0002_07,0012_06,0002_08,0002_01,0002_04,0002_06
0012_10,0012_01,0002_08,0012_07,0012_09,0002_02
0003_12,0003_06,0003_14,0004_03,0003_03,0003_10
0007_25,0012_06,0003_05,0011_14,0107_003,0003_01
0001_07,0001_01,z4311121651514_9bb2c6488e00fdff40bdf1db3406a718,0046_089,0063_034,0001_03
0001_02,0001_10,0001_09,0001_01,0001_05,0001_08
0007_11,0007_03,0063_021,0063_020,0059_019,0010_14
0005_019,0005_002,0005_000,0005_027,0096_006,0010_03
0013_03,0013_09,0013_16,0021_002,0013_11,0013_17
0013_01,0013_11,0021_001,0017_005,0021_000,0013_07
0108_010,0046_004,0046_071,0001_003,0046_070,0008_13
0046_014,0082_013,0046_050,0008_12,0073_004,0008_05
0009_17,0009_18,0009_02,0106_016,0007_030,0009_14
0047_041,0082_034,0047_042,0072_024,0009_09,0009_11
0006_19,0006_14,0008_09,0001_002,0001_011,0006_16
0006_15,0045_002,0045_003,0001_003,0045_000,0006_01
0011_06,0011_08,0011_09,0011_04,0011_13,0011_03
0011_13,0011_05,0011_08,0011_09,0011_04,0011_10
0007_08,0007_16,z4311121656811_029e6ede8c51009c8e07dc335bbaf722,0058_006,0005_019,0007_22
0007_23,0007_19,0007_16,0022_023,z4311121656811_029e6ede8c51009c8e07dc335bbaf722,0007_18
